Entry,Site_number,Lat,Lon,Coral_sampler,Date,Time,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Notes_Field,Notes_Processing
131,1,-17.58796,-149.85012,TCA,5/20/2021,15:30,0.22,0.78,0.38,0.88,,
132,2,-17.59043,-149.85131,TCA,5/20/2021,16:12,0.18,1.06,0.36,0.62,,
126,3,-17.59053,-149.86127,TCA,5/20/2021,13:30,0.18,0.65,0.14,0.1,,
127,4,-17.58474,-149.85843,TCA,5/20/2021,13:54,0.19,0.77,0.18,0.17,No coral surveys,
124,5,-17.5851,-149.86729,TCA,5/20/2021,12:24,0.18,0.68,0.11,1.15,,
120,6,-17.57797,-149.87319,TCA,5/20/2021,10:41,0.19,0.82,0.11,0.06,,
125,7,-17.57851,-149.86222,TCA,5/20/2021,13:01,0.18,0.91,0.18,0.3,No coral surveys; no benthic photos,
128,8,-17.58235,-149.85452,TCA,5/20/2021,14:15,0.19,0.8,0.27,0.13,No coral surveys; lots of big Prus,
119,9,-17.57453,-149.874,TCA,5/20/2021,10:11,0.19,0.87,0.08,0.15,,
121,10,-17.57521,-149.87,TCA,5/20/2021,11:05,0.18,0.7,0.12,0.14,,
122,11,-17.57273,-149.86616,TCA,5/20/2021,11:31,0.2,4.7,0.19,0.32,No coral surveys,
118,13,-17.56769,-149.87057,TCA,5/20/2021,9:51,0.22,1.31,0.34,0.5,,
123,14,-17.58281,-149.86626,TCA,5/20/2021,11:50,0.18,0.74,0.15,0.17,,
129,15,-17.58035,-149.8535,TCA,5/20/2021,14:45,0.19,0.96,0.22,0.05,No coral surveys; no benthic photos,
19,16,-17.58695,-149.84261,TCA,5/26/2021,16:24,0.22,3.55,0.54,0.75,,
1,17,-17.59329,-149.83903,TCA,5/26/2021,10:18,0.19,1.07,0.24,1.48,,
2,19,-17.59716,-149.83776,TCA,5/26/2021,10:40,0.16,0.78,0.17,0.77,,
18,20,-17.60238,-149.83034,TCA,5/26/2021,15:50,0.18,0.66,0.17,1.27,,
3,21,-17.59344,-149.82625,TCA,5/26/2021,10:57,0.18,0.8,0.28,1.13,,
12,22,-17.60255,-149.80759,TCA,5/26/2021,13:50,0.16,0.77,0.14,0.63,,
14,24,-17.59378,-149.81353,TCA,5/26/2021,14:24,0.2,0.81,0.29,0.68,,
9,25,-17.59514,-149.80741,TCA,5/26/2021,12:56,0.18,0.83,0.23,0.77,,
6,26,-17.59317,-149.80337,TCA,5/26/2021,11:52,0.2,0.87,0.25,0.82,,
8,27,-17.59616,-149.79826,TCA,5/26/2021,12:26,0.14,0.74,0.16,0.63,,
16,28,-17.59882,-149.81939,TCA,5/26/2021,14:57,0.17,0.79,0.1,1.05,,
4,29,-17.59742,-149.82838,TCA,5/26/2021,11:12,0.16,0.78,0.14,1.47,,
13,30,-17.59746,-149.80912,TCA,5/26/2021,14:08,0.15,0.75,0.17,0.68,,
10,31,-17.59731,-149.80624,TCA,5/26/2021,13:11,0.16,0.73,0.19,0.62,,
7,32,-17.59475,-149.80159,TCA,5/26/2021,12:04,0.16,0.77,0.17,0.64,,
173,34,-17.58031,-149.79438,TCA,5/22/2021,15:00,0.17,0.77,0.1,0.09,,
175,35,-17.58383,-149.79855,TCA,5/22/2021,15:56,0.22,0.95,0.33,0.19,,
172,36,-17.57891,-149.7967,TCA,5/22/2021,14:44,0.1,1.24,0.31,0.46,,
170,37,-17.57349,-149.79429,TCA,5/22/2021,13:43,0.19,1.22,0.24,0.16,No coral surveys,
165,38,-17.56787,-149.7925,TCA,5/22/2021,11:30,0.2,0.74,0.24,0.15,Water and Turbinaria only,
168,39,-17.57239,-149.78833,TCA,5/22/2021,12:55,0.16,0.94,0.25,0.26,,
171,40,-17.57567,-149.78853,TCA,5/22/2021,14:15,0.2,0.75,0.2,0.11,,
167,41,-17.57019,-149.78739,TCA,5/22/2021,12:22,0.11,0.93,0.18,0.28,,
166,42,-17.56927,-149.78966,TCA,5/22/2021,11:50,0.12,0.82,0.22,0.29,,
163,43,-17.56248,-149.78303,TCA,5/22/2021,10:49,0.17,0.77,0.13,0.53,,
162,44,-17.5615,-149.78549,TCA,5/22/2021,10:20,0.19,0.73,0.07,0.03,,
161,45,-17.56025,-149.7891,TCA,5/22/2021,10:05,0.2,0.96,0.23,0.15,No coral surveys,
160,46,-17.55799,-149.78094,TCA,5/22/2021,9:49,0.19,0.88,0.19,0.15,Water and Turbinaria only,
130,47,-17.59313,-149.85466,TCA,5/20/2021,15:15,0.21,0.79,0.14,0.12,,
15,48,-17.59492,-149.81718,TCA,5/26/2021,14:41,0.17,0.74,0.14,1.03,,
11,50,-17.601,-149.80085,TCA,5/26/2021,13:28,0.17,0.74,0.13,0.6,,
159,51,-17.55479,-149.78912,TCA,5/22/2021,9:30,0.22,0.97,0.54,0.9,Water and Turbinaria only,
48,52,-17.5483,-149.78066,DEB,5/21/2021,16:01,0.16,0.92,0.31,0.27,,
46,53,-17.54554,-149.77825,DEB,5/21/2021,15:35,0.21,1.04,0.31,0.7,,
43,54,-17.54049,-149.77395,DEB,5/21/2021,14:33,0.21,0.86,0.22,1.11,,
44,55,-17.54389,-149.77475,DEB,5/21/2021,14:45,0.21,1,0.39,1.55,,
42,56,-17.54066,-149.77038,DEB,5/21/2021,14:04,0.17,0.71,0.17,0.76,,
41,57,-17.54171,-149.76657,DEB,5/21/2021,13:34,0.19,0.8,0.23,0.87,,
45,58,-17.54809,-149.77324,DEB,5/21/2021,15:04,0.17,0.75,0.18,0.73,,
49,59,-17.54355,-149.77061,DEB,5/21/2021,16:13,0.14,0.98,0.15,0,,
47,60,-17.55227,-149.7774,DEB,5/21/2021,15:45,0.16,0.84,0.32,1.31,,
38,61,-17.53524,-149.77153,DEB,5/21/2021,11:42,0.12,0.82,0.17,0.59,61 New,
39,62,-17.53598,-149.76799,DEB,5/21/2021,12:13,0.1,0.78,0.14,0.49,,
40,63,-17.53694,-149.76456,DEB,5/21/2021,12:45,0.11,0.72,0.14,0.47,63 New,
36,64,-17.52993,-149.76623,DEB,5/21/2021,10:48,0.11,0.76,0.17,0.42,64 New,
35,65,-17.52484,-149.76495,DEB,5/21/2021,9:53,0.14,0.82,0.16,0.12,,
37,66,-17.5284,-149.7735,DEB,5/21/2021,11:19,0.13,0.92,0.37,0.75,,
34,67,-17.52267,-149.77937,TCA,5/21/2021,16:35,0.14,2.38,0.31,-0.01,,
33,68,-17.52007,-149.77383,TCA,5/21/2021,16:20,0.11,0.82,0.2,-0.01,,
30,69,-17.51598,-149.76878,TCA,5/21/2021,15:05,0.14,1.05,0.27,0.02,,
26,70,-17.5103,-149.76659,TCA,5/21/2021,12:37,0.11,0.76,0.09,0.06,,
27,71,-17.51072,-149.76303,TCA,5/21/2021,13:00,0.11,0.74,0.1,-0.01,,
32,72,-17.52173,-149.76436,TCA,5/21/2021,15:51,0.12,0.81,0.16,-0.01,,
31,73,-17.51639,-149.76421,TCA,5/21/2021,15:24,0.11,0.76,0.1,-0.02,,
24,74,-17.50533,-149.76093,TCA,5/21/2021,11:52,0.1,0.76,0.08,0.08,,
23,75,-17.50327,-149.76453,TCA,5/21/2021,11:21,0.1,0.74,0.05,0,,
22,76,-17.50094,-149.76272,TCA,5/21/2021,11:05,0.09,0.72,0.06,0,No Turbinaria,
21,77,-17.50258,-149.75975,TCA,5/21/2021,10:39,0.09,0.77,0.04,0.21,,
20,78,-17.50025,-149.75765,TCA,5/21/2021,10:09,0.12,0.81,0.08,-0.01,,
17,79,-17.60411,-149.82103,TCA,5/26/2021,15:12,0.12,0.73,0.14,1.17,,
133,80,-17.56381,-149.87435,TCA,5/20/2021,16:45,0.16,1.17,0.31,0.67,Only 335 ml through sterivex,
103,81,-17.5651,-149.87756,DEB,5/20/2021,9:29,0.18,1,0.35,0.23,,
117,82,-17.56891,-149.87854,TCA,5/20/2021,9:28,0.15,0.75,0.13,0.12,,
104,83,-17.56706,-149.88305,DEB,5/20/2021,10:01,0.12,0.83,0.23,0.09,,
106,84,-17.56044,-149.88653,DEB,5/20/2021,11:05,0.13,0.78,0.28,0.13,,
105,85,-17.56351,-149.88122,DEB,5/20/2021,10:31,0.15,0.73,0.32,1.32,,
107,86,-17.5585,-149.88263,DEB,5/20/2021,11:38,0.09,0.94,0.35,0.14,,
108,87,-17.55784,-149.87963,DEB,5/20/2021,12:05,0.16,0.99,0.4,1.16,87 NEW,
112,89,-17.55474,-149.88559,DEB,5/20/2021,13:51,0.15,1.03,0.31,1.18,,
110,90,-17.55574,-149.88792,DEB,5/20/2021,12:58,0.08,0.84,0.2,0.13,,
111,91,-17.55742,-149.89051,DEB,5/20/2021,13:25,0.15,0.74,0.35,0.56,,
115,92,-17.55033,-149.89705,DEB,5/20/2021,14:44,0.08,0.93,0.28,0.09,,
116,93,-17.54638,-149.89117,DEB,5/20/2021,15:24,0.1,1.28,0.47,0.18,,
102,94,-17.54781,-149.89496,TCA,5/19/2021,15:40,0.12,0.74,0.2,0.05,,
101,95,-17.54494,-149.90223,TCA,5/19/2021,15:08,0.15,0.71,0.17,0.08,,
98,96,-17.53816,-149.90449,TCA,5/19/2021,13:47,0.16,1.17,0.52,0.11,,
99,97,-17.54098,-149.90676,TCA,5/19/2021,14:02,0.14,0.78,0.16,0,,
100,98,-17.54182,-149.89851,TCA,5/19/2021,14:30,0.14,0.71,0.24,0.1,,
97,99,-17.53413,-149.90549,TCA,5/19/2021,13:20,0.17,0.81,0.44,1.13,,
96,100,-17.53432,-149.91013,TCA,5/19/2021,12:45,0.14,0.69,0.21,0.05,,
95,101,-17.53756,-149.91211,TCA,5/19/2021,12:04,0.17,0.75,0.15,0.01,,
94,102,-17.52928,-149.91816,TCA,5/19/2021,11:21,0.17,0.72,0.17,0,,
93,103,-17.52735,-149.91403,TCA,5/19/2021,10:56,0.18,0.77,0.38,0.17,,
92,104,-17.52568,-149.91074,TCA,5/19/2021,10:22,0.18,1,0.47,0.21,,
81,105,-17.52007,-149.92062,DEB,5/19/2021,10:05,0.15,0.75,0.37,1.16,,
82,106,-17.51945,-149.91706,DEB,5/19/2021,10:52,0.12,0.91,0.42,0.28,,
83,107,-17.51886,-149.91327,DEB,5/19/2021,11:29,0.08,1.35,0.38,0.12,,
85,108,-17.51273,-149.92259,DEB,5/19/2021,12:54,0.08,0.83,0.26,0.63,,
86,109,-17.51139,-149.91945,DEB,5/19/2021,13:34,0.1,0.88,0.3,0.76,,
88,110,-17.51056,-149.91592,DEB,5/19/2021,14:40,0.14,0.97,0.41,0.21,,
89,111,-17.50318,-149.92404,DEB,5/19/2021,15:13,0.14,0.75,0.3,0.18,,
90,112,-17.50348,-149.92064,DEB,5/19/2021,15:46,0.09,0.8,0.36,0.18,,
91,113,-17.50287,-149.91747,DEB,5/19/2021,16:16,0.15,1.34,0.58,0.27,,
50,114,-17.49546,-149.92357,TCA,5/24/2021,9:15,0.11,0.69,0.24,0.43,,
51,115,-17.49504,-149.91971,TCA,5/24/2021,9:42,0.12,0.67,0.25,0.51,,
52,116,-17.49475,-149.9146,TCA,5/24/2021,10:00,0.08,0.72,0.28,0.19,,
53,117,-17.49065,-149.9111,TCA,5/24/2021,10:24,0.12,0.84,0.23,0.5,Ripping current; no coral surveys; no benthic photos,
55,118,-17.48915,-149.90675,TCA,5/24/2021,11:20,0.12,0.94,0.23,0.58,Ripping current; no coral surveys,
54,119,-17.48592,-149.90779,TCA,5/24/2021,10:40,0.12,0.71,0.17,0.5,,
56,120,-17.48791,-149.90225,TCA,5/24/2021,11:42,0.13,0.74,0.21,0.66,,
57,121,-17.48853,-149.89686,TCA,5/24/2021,12:08,0.15,0.99,0.26,0.49,,
58,122,-17.48485,-149.89624,TCA,5/24/2021,12:32,0.11,0.78,0.21,0.48,,
60,123,-17.48895,-149.89129,TCA,5/24/2021,13:15,0.14,0.78,0.34,0.53,123N,
143,125,-17.4902,-149.88266,KES,5/25/2021,10:07,0.15,0.81,0.67,0.97,,
65,126,-17.4918,-149.87949,TCA,5/24/2021,15:54,0.06,1.74,0.61,0.39,,
64,127,-17.48897,-149.87898,TCA,5/24/2021,15:26,0.15,0.8,0.41,0.74,,
145,128,-17.48683,-149.8765,KES,5/25/2021,11:18,0.13,0.79,0.35,0.59,,
147,129,-17.48973,-149.87265,KES,5/25/2021,12:12,0.09,1.22,0.19,0.71,,
146,130,-17.48467,-149.87422,KES,5/25/2021,11:40,0.14,0.79,0.4,0.5,,
155,131,-17.4881,-149.86676,KES,5/25/2021,14:50,0.12,1.18,0.33,0.49,,
149,132,-17.48744,-149.87097,KES,5/25/2021,12:59,0.14,0.97,0.4,0.55,,
62,133,-17.49029,-149.8869,TCA,5/24/2021,14:15,0.08,0.87,0.36,0.24,,
61,134,-17.48733,-149.88701,TCA,5/24/2021,13:44,0.15,0.77,0.33,0.56,,
63,136,-17.4869,-149.88057,TCA,5/24/2021,15:00,0.08,0.85,0.37,0.26,,
144,137,-17.4838,-149.87981,KES,5/25/2021,10:49,0.12,0.78,0.32,0.4,,
148,138,-17.4921,-149.87465,KES,5/25/2021,12:35,0.14,0.99,0.28,0.63,,
150,139,-17.49065,-149.86812,KES,5/25/2021,13:23,0.15,1.11,0.34,0.64,,
152,140,-17.49716,-149.86264,KES,5/25/2021,13:57,0.13,1.6,0.54,0.47,,
151,141,-17.49316,-149.86737,KES,5/25/2021,13:41,0.16,1.6,0.62,0.6,,
156,142,-17.49376,-149.85192,KES,5/25/2021,15:15,0.12,0.84,0.37,0.5,,
157,143,-17.49083,-149.85442,KES,5/25/2021,15:41,0.22,1.12,0.54,0.82,,
158,144,-17.48895,-149.855,KES,5/25/2021,16:12,0.17,1.29,0.39,0.73,,
141,145,-17.48967,-149.84942,KES,5/26/2021,12:55,0.17,1.26,0.46,1.68,,
140,146,-17.48546,-149.84699,KES,5/26/2021,12:37,0.16,0.85,0.36,0.68,,
138,147,-17.48169,-149.84987,KES,5/26/2021,11:44,0.15,0.94,0.29,0.62,,
139,148,-17.48387,-149.84902,KES,5/26/2021,12:13,0.15,0.77,0.33,0.22,,
142,149,-17.4865,-149.85203,KES,5/26/2021,13:16,0.16,0.94,0.46,0.73,,
195,150,-17.4843,-149.84201,KES,5/24/2021,16:38,0.1,0.85,0.4,0.39,,
137,151,-17.47822,-149.84236,KES,5/26/2021,11:11,0.13,0.9,0.31,0.61,,
136,152,-17.4801,-149.84228,KES,5/26/2021,10:47,0.17,0.88,0.5,0.62,,
135,153,-17.47842,-149.83398,KES,5/26/2021,10:17,0.14,0.93,0.38,0.64,,
194,154,-17.47973,-149.83653,KES,5/24/2021,16:03,0.13,0.93,0.35,0.65,,
193,155,-17.48487,-149.83479,KES,5/24/2021,15:50,0.14,0.94,0.41,0.64,,
192,156,-17.48503,-149.83127,KES,5/24/2021,15:35,0.13,0.9,0.33,0.17,,
191,157,-17.48115,-149.83014,KES,5/24/2021,14:53,0.11,1.13,0.18,0.34,,
189,158,-17.48467,-149.82752,KES,5/24/2021,14:10,0.13,0.89,0.36,0.57,,
188,159,-17.48656,-149.82506,KES,5/24/2021,13:44,0.15,0.99,0.35,0.7,,
190,160,-17.48205,-149.82621,KES,5/24/2021,14:28,0.17,1.1,0.69,0.26,,
177,161,-17.47371,-149.77685,TCA,5/23/2021,10:17,0.14,0.84,0.23,0.18,,
178,162,-17.476,-149.78036,TCA,5/23/2021,10:45,0.15,1.81,0.27,0.41,,
181,163,-17.47785,-149.78665,TCA,5/23/2021,11:58,0.17,0.91,0.25,0.21,,
184,164,-17.47881,-149.79099,TCA,5/23/2021,14:47,0.15,0.83,0.36,0.33,,
187,165,-17.47961,-149.79613,TCA,5/23/2021,16:15,0.17,0.91,0.77,0.4,,
180,166,-17.47499,-149.78672,TCA,5/23/2021,11:32,0.15,0.75,0.29,0.13,,
179,167,-17.47283,-149.78103,TCA,5/23/2021,11:06,0.13,0.86,0.3,0.9,,
182,168,-17.47187,-149.78655,TCA,5/23/2021,12:31,0.15,0.88,0.27,0.44,,
185,169,-17.47434,-149.79374,TCA,5/23/2021,15:18,0.16,0.88,0.31,0.91,,
186,170,-17.47682,-149.79501,TCA,5/23/2021,15:50,0.16,0.85,0.39,0.84,,
183,171,-17.47497,-149.79012,TCA,5/23/2021,14:20,0.18,0.79,0.36,0.88,,
67,172,-17.48044,-149.79966,TCA,5/25/2021,10:35,0.17,0.96,0.66,1.66,,
66,173,-17.47605,-149.79737,TCA,5/25/2021,10:15,0.16,0.83,0.44,0.72,,
69,175,-17.48082,-149.80484,TCA,5/25/2021,11:23,0.12,1,0.58,0.34,,
78,176,-17.48256,-149.81385,TCA,5/25/2021,15:50,0.17,0.87,0.84,0.75,,
79,178,-17.48729,-149.81839,TCA,5/25/2021,16:15,0.12,1.59,0.97,0.42,,
76,179,-17.4812,-149.8176,TCA,5/25/2021,14:50,0.1,0.95,0.34,0.26,,
134,180,-17.47708,-149.82124,KES,5/26/2021,9:32,0.16,1.07,0.49,1.01,,
74,181,-17.47478,-149.81489,TCA,5/25/2021,13:40,0.15,0.84,0.3,0.62,,
73,182,-17.47831,-149.81354,TCA,5/25/2021,13:15,0.13,0.88,0.3,1.64,,
72,183,-17.48035,-149.81365,TCA,5/25/2021,12:30,0.15,0.84,0.24,0.91,,
75,184,-17.47487,-149.8077,TCA,5/25/2021,14:10,0.17,0.82,0.37,0.93,184N,
71,185,-17.47691,-149.80663,TCA,5/25/2021,12:00,0.18,0.82,0.33,0.94,,
68,186,-17.47712,-149.8025,TCA,5/25/2021,10:56,0.18,0.84,0.44,0.9,,
70,187,-17.47899,-149.80634,TCA,5/25/2021,11:40,0.18,0.83,0.36,1.68,,
77,188,-17.47807,-149.81724,TCA,5/25/2021,15:20,0.17,0.85,0.28,1.66,,
59,200,-17.49044,-149.89176,TCA,5/24/2021,13:00,0.19,0.94,0.45,0.91,,
174,201,-17.58183,-149.78965,TCA,5/22/2021,15:30,0.17,0.85,0.13,0.37,,
5,202,-17.58791,-149.80488,TCA,5/26/2021,11:36,0.21,2.5,0.45,1.75,,
87,203,-17.50637,-149.91716,DEB,5/19/2021,14:19,0.16,2.84,0.54,1.64,,
25,204,-17.50963,-149.76818,TCA,5/21/2021,12:18,0.18,1.66,0.06,0.7,,
176,205,-17.55094,-149.78795,TCA,5/22/2021,16:21,0.26,11.2,0.39,0.96,,
164,206,-17.56594,-149.79259,TCA,5/22/2021,11:15,0.18,1.03,0.37,0.95,Water and Turbinaria only,
169,207,-17.57248,-149.79544,TCA,5/22/2021,13:21,0.19,1.11,0.43,1.76,No coral surveys,
114,208,-17.55015,-149.88495,DEB,5/20/2021,14:30,0.19,5.15,0.48,0.9,No benthic photos,
113,209,-17.5528,-149.88307,DEB,5/20/2021,14:10,0.14,1.05,0.34,0.92,No benthic photos,
109,210,-17.55789,-149.87744,DEB,5/20/2021,12:30,0.21,1.17,0.46,1.73,210 NEW; no video,
80,Cooks_1,-17.49718,-149.81805,TCA,5/25/2021,16:40,0.16,1.74,0.09,1.2,,
29,LTER_3_Backreef,-17.5138,-149.76415,TCA,5/21/2021,14:05,0.15,0.69,0.06,0.43,,
28,LTER_3_Fringe,-17.51305,-149.76688,TCA,5/21/2021,13:30,0.17,0.73,0.12,0.59,,
84,LTER_6_Fringe,-17.51553,-149.91452,DEB,5/19/2021,12:15,0.22,1.47,0.7,1.78,,
154,Opu_1,-17.50843,-149.85259,KES,5/25/2021,14:31,0.19,2.11,0.25,1.08,,
153,Opu_2,-17.50654,-149.8576,KES,5/25/2021,14:20,0.25,2.53,0.87,1.57,,
