"Site","N","dN15","sampleDate"
"1","0.65",NA,"May2021"
"2","0.52",NA,"May2021"
"3","0.68",NA,"May2021"
"4","0.61",NA,"May2021"
"5","0.69",NA,"May2021"
"6","0.64",NA,"May2021"
"7","0.53",NA,"May2021"
"8","0.62",NA,"May2021"
"9","0.76",NA,"May2021"
"10","0.65",NA,"May2021"
"11","0.67",NA,"May2021"
"13","0.66",NA,"May2021"
"14","0.64",NA,"May2021"
"15","0.52",NA,"May2021"
"16","0.95",NA,"May2021"
"17","0.65",NA,"May2021"
"19","0.53",NA,"May2021"
"20","0.69",NA,"May2021"
"21","0.7",NA,"May2021"
"22","0.5",NA,"May2021"
"24","0.63",NA,"May2021"
"25","0.64",NA,"May2021"
"26","0.62",NA,"May2021"
"27","0.54",NA,"May2021"
"28","0.67",NA,"May2021"
"29","0.64",NA,"May2021"
"30","0.68",NA,"May2021"
"31","0.66",NA,"May2021"
"32","0.51",NA,"May2021"
"34","0.66",NA,"May2021"
"35","0.75",NA,"May2021"
"36","0.81",NA,"May2021"
"37","0.8",NA,"May2021"
"38","0.72",NA,"May2021"
"39","0.56",NA,"May2021"
"40","0.69",NA,"May2021"
"41","0.6",NA,"May2021"
"42","0.71",NA,"May2021"
"43","0.59",NA,"May2021"
"44","0.58",NA,"May2021"
"45","0.56",NA,"May2021"
"46","0.69",NA,"May2021"
"47","0.69",NA,"May2021"
"48","0.56",NA,"May2021"
"50","0.61",NA,"May2021"
"51","0.77",NA,"May2021"
"52","0.61",NA,"May2021"
"53","0.6",NA,"May2021"
"54","0.46",NA,"May2021"
"55","0.65",NA,"May2021"
"56","0.52",NA,"May2021"
"57","0.46",NA,"May2021"
"58","0.49",NA,"May2021"
"59","0.4",NA,"May2021"
"60","0.59",NA,"May2021"
"61","0.66",NA,"May2021"
"62","0.63",NA,"May2021"
"63","0.49",NA,"May2021"
"64","0.63",NA,"May2021"
"65","0.64",NA,"May2021"
"66","0.59",NA,"May2021"
"67","0.73",NA,"May2021"
"68","0.58",NA,"May2021"
"69","0.74",NA,"May2021"
"70","0.65",NA,"May2021"
"71","0.59",NA,"May2021"
"72","0.69",NA,"May2021"
"73","0.53",NA,"May2021"
"74","0.7",NA,"May2021"
"75","0.71",NA,"May2021"
"77","0.64",NA,"May2021"
"78","0.6",NA,"May2021"
"79","0.48",NA,"May2021"
"80","0.67",NA,"May2021"
"80","0.62",NA,"May2021"
"81","0.6",NA,"May2021"
"82","0.61",NA,"May2021"
"84","0.5",NA,"May2021"
"85","0.58",NA,"May2021"
"86","0.68",NA,"May2021"
"87","0.64",NA,"May2021"
"89","0.66",NA,"May2021"
"90","0.74",NA,"May2021"
"91","0.67",NA,"May2021"
"92","0.54",NA,"May2021"
"93","0.71",NA,"May2021"
"94","0.57",NA,"May2021"
"95","0.6",NA,"May2021"
"96","0.75",NA,"May2021"
"97","0.69",NA,"May2021"
"98","0.65",NA,"May2021"
"99","0.72",NA,"May2021"
"100","0.74",NA,"May2021"
"101","0.68",NA,"May2021"
"102","0.6",NA,"May2021"
"103","0.69",NA,"May2021"
"104","0.59",NA,"May2021"
"105","0.59",NA,"May2021"
"106","0.54",NA,"May2021"
"107","0.63",NA,"May2021"
"108","0.61",NA,"May2021"
"109","0.57",NA,"May2021"
"110","0.59",NA,"May2021"
"111","0.51",NA,"May2021"
"112","0.47",NA,"May2021"
"113","0.6",NA,"May2021"
"114","0.5",NA,"May2021"
"115","0.61",NA,"May2021"
"116","0.71",NA,"May2021"
"117","0.83",NA,"May2021"
"118","0.88",NA,"May2021"
"119","0.61",NA,"May2021"
"120","0.72",NA,"May2021"
"121","0.62",NA,"May2021"
"122","0.69",NA,"May2021"
"123","0.53",NA,"May2021"
"125","0.7",NA,"May2021"
"126","0.6",NA,"May2021"
"127","0.47",NA,"May2021"
"128","0.67",NA,"May2021"
"129","0.63",NA,"May2021"
"130","0.73",NA,"May2021"
"131","0.93",NA,"May2021"
"132","0.7",NA,"May2021"
"133","0.69",NA,"May2021"
"134","0.69",NA,"May2021"
"136","0.66",NA,"May2021"
"137","0.75",NA,"May2021"
"138","0.62",NA,"May2021"
"139","0.57",NA,"May2021"
"140","0.74",NA,"May2021"
"141","0.76",NA,"May2021"
"142","0.55",NA,"May2021"
"143","0.84",NA,"May2021"
"144","0.6",NA,"May2021"
"145","0.72",NA,"May2021"
"146","0.68",NA,"May2021"
"147","0.7",NA,"May2021"
"148","0.63",NA,"May2021"
"149","0.58",NA,"May2021"
"150","0.51",NA,"May2021"
"151","0.74",NA,"May2021"
"152","0.7",NA,"May2021"
"153","0.7",NA,"May2021"
"154","0.5",NA,"May2021"
"155","0.57",NA,"May2021"
"156","0.7",NA,"May2021"
"157","0.53",NA,"May2021"
"158","0.53",NA,"May2021"
"159","0.53",NA,"May2021"
"160","0.72",NA,"May2021"
"161","0.7",NA,"May2021"
"162","0.68",NA,"May2021"
"163","0.68",NA,"May2021"
"164","0.56",NA,"May2021"
"165","0.73",NA,"May2021"
"166","0.48",NA,"May2021"
"167","0.56",NA,"May2021"
"168","0.6",NA,"May2021"
"169","0.58",NA,"May2021"
"170","0.72",NA,"May2021"
"171","0.7",NA,"May2021"
"172","0.68",NA,"May2021"
"173","0.72",NA,"May2021"
"175","0.69",NA,"May2021"
"176","0.67",NA,"May2021"
"178","0.77",NA,"May2021"
"179","0.73",NA,"May2021"
"180","0.7",NA,"May2021"
"181","0.65",NA,"May2021"
"182","0.54",NA,"May2021"
"183","0.59",NA,"May2021"
"184","0.63",NA,"May2021"
"185","0.67",NA,"May2021"
"186","0.67",NA,"May2021"
"187","0.62",NA,"May2021"
"188","0.68",NA,"May2021"
"200","0.72",NA,"May2021"
"201","0.66",NA,"May2021"
"202","0.65",NA,"May2021"
"203","0.7",NA,"May2021"
"204","0.66",NA,"May2021"
"205","0.85",NA,"May2021"
"206","0.69",NA,"May2021"
"207","0.85",NA,"May2021"
"208","0.75",NA,"May2021"
"209","0.81",NA,"May2021"
"210","0.82",NA,"May2021"
"LTER 3 Back Reef","0.59",NA,"May2021"
"LTER 3 Fringing Reef","0.6",NA,"May2021"
"LTER 6 Fringing","0.66",NA,"May2021"
"Cooks 1","0.56",NA,"May2021"
"OPU 1","0.7",NA,"May2021"
"OPU 2","0.79",NA,"May2021"
"2","0.46",NA,"Aug2020"
"3","0.59",NA,"Aug2020"
"4","0.40",NA,"Aug2020"
"6","0.50",NA,"Aug2020"
"7","0.45",NA,"Aug2020"
"8","0.57",NA,"Aug2020"
"9","0.47",NA,"Aug2020"
"10","0.45",NA,"Aug2020"
"11","0.55",NA,"Aug2020"
"12","0.53",NA,"Aug2020"
"13","0.54",NA,"Aug2020"
"14","0.57",NA,"Aug2020"
"16","0.81",NA,"Aug2020"
"17","0.56",NA,"Aug2020"
"19","0.43",NA,"Aug2020"
"22","0.40",NA,"Aug2020"
"24","0.51",NA,"Aug2020"
"25","0.51",NA,"Aug2020"
"26","0.59",NA,"Aug2020"
"27","0.37",NA,"Aug2020"
"30","0.56",NA,"Aug2020"
"31","0.55",NA,"Aug2020"
"32","0.44",NA,"Aug2020"
"33","0.36",NA,"Aug2020"
"34","0.36",NA,"Aug2020"
"35","0.65",NA,"Aug2020"
"36","0.54",NA,"Aug2020"
"37","0.63",NA,"Aug2020"
"38","0.60",NA,"Aug2020"
"39","0.44",NA,"Aug2020"
"40","0.48",NA,"Aug2020"
"41","0.42",NA,"Aug2020"
"42","0.47",NA,"Aug2020"
"43","0.52",NA,"Aug2020"
"44","0.44",NA,"Aug2020"
"45","0.54",NA,"Aug2020"
"46","0.71",NA,"Aug2020"
"47","0.51",NA,"Aug2020"
"50","0.49",NA,"Aug2020"
"51","0.74",NA,"Aug2020"
"52","0.67",NA,"Aug2020"
"53","0.59",NA,"Aug2020"
"54","0.55",NA,"Aug2020"
"56","0.48",NA,"Aug2020"
"57","0.55",NA,"Aug2020"
"58","0.52",NA,"Aug2020"
"59","0.51",NA,"Aug2020"
"60","0.54",NA,"Aug2020"
"61","0.53",NA,"Aug2020"
"62","0.48",NA,"Aug2020"
"63","0.45",NA,"Aug2020"
"64","0.44",NA,"Aug2020"
"65","0.56",NA,"Aug2020"
"66","0.59",NA,"Aug2020"
"67","0.65",NA,"Aug2020"
"68","0.69",NA,"Aug2020"
"69","0.62",NA,"Aug2020"
"70","0.62",NA,"Aug2020"
"71","0.58",NA,"Aug2020"
"72","0.60",NA,"Aug2020"
"73","0.50",NA,"Aug2020"
"74","0.54",NA,"Aug2020"
"75","0.57",NA,"Aug2020"
"76","0.33",NA,"Aug2020"
"77","0.53",NA,"Aug2020"
"78","0.53",NA,"Aug2020"
"80","0.68",NA,"Aug2020"
"81","0.64",NA,"Aug2020"
"82","0.57",NA,"Aug2020"
"83","0.53",NA,"Aug2020"
"84","0.62",NA,"Aug2020"
"85","0.56",NA,"Aug2020"
"86","0.57",NA,"Aug2020"
"87","0.61",NA,"Aug2020"
"88","0.61",NA,"Aug2020"
"89","0.68",NA,"Aug2020"
"90","0.61",NA,"Aug2020"
"91","0.51",NA,"Aug2020"
"92","0.68",NA,"Aug2020"
"93","0.62",NA,"Aug2020"
"94","0.48",NA,"Aug2020"
"95","0.53",NA,"Aug2020"
"97","0.63",NA,"Aug2020"
"98","0.62",NA,"Aug2020"
"100","0.60",NA,"Aug2020"
"101","0.55",NA,"Aug2020"
"102","0.67",NA,"Aug2020"
"103","0.48",NA,"Aug2020"
"104","0.53",NA,"Aug2020"
"105","0.56",NA,"Aug2020"
"106","0.61",NA,"Aug2020"
"107","0.52",NA,"Aug2020"
"110","0.53",NA,"Aug2020"
"111","0.54",NA,"Aug2020"
"112","0.52",NA,"Aug2020"
"113","0.56",NA,"Aug2020"
"114","0.61",NA,"Aug2020"
"115","0.54",NA,"Aug2020"
"116","0.51",NA,"Aug2020"
"117","0.49",NA,"Aug2020"
"118","0.56",NA,"Aug2020"
"119","0.50",NA,"Aug2020"
"120","0.57",NA,"Aug2020"
"121","0.63",NA,"Aug2020"
"122","0.52",NA,"Aug2020"
"123","0.52",NA,"Aug2020"
"124","0.45",NA,"Aug2020"
"125","0.57",NA,"Aug2020"
"126","0.44",NA,"Aug2020"
"127","0.55",NA,"Aug2020"
"128","0.56",NA,"Aug2020"
"129","0.51",NA,"Aug2020"
"130","0.52",NA,"Aug2020"
"131","0.65",NA,"Aug2020"
"132","0.46",NA,"Aug2020"
"133","0.59",NA,"Aug2020"
"134","0.54",NA,"Aug2020"
"135","0.46",NA,"Aug2020"
"136","0.51",NA,"Aug2020"
"137","0.52",NA,"Aug2020"
"138","0.39",NA,"Aug2020"
"139","0.61",NA,"Aug2020"
"140","0.50",NA,"Aug2020"
"141","0.74",NA,"Aug2020"
"142","0.50",NA,"Aug2020"
"143","0.59",NA,"Aug2020"
"144","0.46",NA,"Aug2020"
"145","0.46",NA,"Aug2020"
"146","0.55",NA,"Aug2020"
"147","0.54",NA,"Aug2020"
"148","0.58",NA,"Aug2020"
"149","0.40",NA,"Aug2020"
"150","0.51",NA,"Aug2020"
"151","0.52",NA,"Aug2020"
"152","0.55",NA,"Aug2020"
"153","0.60",NA,"Aug2020"
"154","0.47",NA,"Aug2020"
"155","0.56",NA,"Aug2020"
"156","0.56",NA,"Aug2020"
"158","0.43",NA,"Aug2020"
"159","0.61",NA,"Aug2020"
"160","0.57",NA,"Aug2020"
"161","0.50",NA,"Aug2020"
"162","0.49",NA,"Aug2020"
"163","0.60",NA,"Aug2020"
"164","0.58",NA,"Aug2020"
"165","0.66",NA,"Aug2020"
"166","0.67",NA,"Aug2020"
"167","0.71",NA,"Aug2020"
"168","0.33",NA,"Aug2020"
"169","0.54",NA,"Aug2020"
"170","0.59",NA,"Aug2020"
"171","0.53",NA,"Aug2020"
"172","0.63",NA,"Aug2020"
"173","0.55",NA,"Aug2020"
"175","0.55",NA,"Aug2020"
"176","0.59",NA,"Aug2020"
"177","0.48",NA,"Aug2020"
"178","0.43",NA,"Aug2020"
"179","0.45",NA,"Aug2020"
"180","0.43",NA,"Aug2020"
"181","0.38",NA,"Aug2020"
"182","0.42",NA,"Aug2020"
"183","0.47",NA,"Aug2020"
"184","0.47",NA,"Aug2020"
"185","0.59",NA,"Aug2020"
"186","0.53",NA,"Aug2020"
"187","0.53",NA,"Aug2020"
"188","0.41",NA,"Aug2020"
"200","0.53",NA,"Aug2020"
"201","0.46",NA,"Aug2020"
"202","0.43",NA,"Aug2020"
"203","0.49",NA,"Aug2020"
"205","0.84",NA,"Aug2020"
"206","0.59",NA,"Aug2020"
"207","0.68",NA,"Aug2020"
"208","0.58",NA,"Aug2020"
"209","0.54",NA,"Aug2020"
"295","0.63",NA,"Aug2020"
"Opu_1","0.56",NA,"Aug2020"
"Cooks_1","0.44",NA,"Aug2020"
"LTER_6_Fringe","0.43",NA,"Aug2020"
"LTER_3_Backreef","0.51",NA,"Aug2020"
"Opu_2","0.53",NA,"Aug2020"
"LTER_3_Fringe","0.50",NA,"Aug2020"
"96","0.54",NA,"Aug2020"
"96","0.53",NA,"Aug2020"
"99","0.65",NA,"Aug2020"
"99","0.51",NA,"Aug2020"
"3","0.6352",NA,"July2019"
"4","0.6307",NA,"July2019"
"8","0.5774",NA,"July2019"
"101","0.5735",NA,"July2019"
"102","0.5817",NA,"July2019"
"22","0.5753",NA,"July2019"
"27","0.4557",NA,"July2019"
"93","0.5933",NA,"July2019"
"31","0.6354",NA,"July2019"
"33","0.6058",NA,"July2019"
"134","0.6351",NA,"July2019"
"35","0.6313",NA,"July2019"
"37","0.6257",NA,"July2019"
"43","0.4649",NA,"July2019"
"46","0.6757",NA,"July2019"
"47","0.5803",NA,"July2019"
"50","0.5768",NA,"July2019"
"60","0.6248",NA,"July2019"
"63","0.5221",NA,"July2019"
"65","0.5765",NA,"July2019"
"66","0.5972",NA,"July2019"
"67","0.6816",NA,"July2019"
"68","0.7531",NA,"July2019"
"72","0.6541",NA,"July2019"
"73","0.5389",NA,"July2019"
"74","0.6604",NA,"July2019"
"75","0.6619",NA,"July2019"
"76","0.5428",NA,"July2019"
"77","0.5663",NA,"July2019"
"78","0.5756",NA,"July2019"
"83","0.4876",NA,"July2019"
"86","0.6335",NA,"July2019"
"89","0.583",NA,"July2019"
"92","0.6626",NA,"July2019"
"94","0.5153",NA,"July2019"
"95","0.5481",NA,"July2019"
"98","0.631",NA,"July2019"
"106","0.6985",NA,"July2019"
"108","0.597",NA,"July2019"
"111","0.554",NA,"July2019"
"112","0.6696",NA,"July2019"
"113","0.7084",NA,"July2019"
"114","0.5596",NA,"July2019"
"118","0.617",NA,"July2019"
"119","0.6351",NA,"July2019"
"120","0.5413",NA,"July2019"
"122","0.5785",NA,"July2019"
"123","0.4627",NA,"July2019"
"128","0.7017",NA,"July2019"
"130","0.542",NA,"July2019"
"132","0.6467",NA,"July2019"
"133","0.5757",NA,"July2019"
"140","0.4816",NA,"July2019"
"146","0.6951",NA,"July2019"
"147","0.5795",NA,"July2019"
"148","0.6345",NA,"July2019"
"149","0.6818",NA,"July2019"
"131","0.701",NA,"July2019"
"152","0.59",NA,"July2019"
"161","0.6151",NA,"July2019"
"163","0.5696",NA,"July2019"
"166","0.4463",NA,"July2019"
"167","0.6483",NA,"July2019"
"169","0.6184",NA,"July2019"
"170","0.6907",NA,"July2019"
"171","0.4817",NA,"July2019"
"175","0.5897",NA,"July2019"
"181","0.5925",NA,"July2019"
"185","0.5676",NA,"July2019"
"187","0.5488",NA,"July2019"
"LTER_1_Backreef","0.5769",NA,"July2019"
"LTER_1_Fringe","0.6782",NA,"July2019"
"LTER_2_Backreef","0.6731",NA,"July2019"
"LTER_2_Fringe","0.6879",NA,"July2019"
"LTER_3_Backreef","0.5974",NA,"July2019"
"LTER_3_Fringe","0.7122",NA,"July2019"
"LTER_4_Backreef","0.5489",NA,"July2019"
"LTER_4_Fringe","0.5659",NA,"July2019"
"LTER_5_Backreef","0.5219",NA,"July2019"
"LTER_5_Fringe","0.6176",NA,"July2019"
"LTER_6_Backreef","0.6321",NA,"July2019"
"91","0.5937",NA,"July2019"
"LTER_6_Fringe","0.6341",NA,"July2019"
"Sofitel","0.522",NA,"July2019"
"1","0.45",11.81,"July2016"
"2","0.43",7.96,"July2016"
"3","0.52",6.65,"July2016"
"4","0.54",4.69,"July2016"
"5","0.47",9.27,"July2016"
"6","0.42",5.97,"July2016"
"7","0.5",4.04,"July2016"
"8","0.46",4.51,"July2016"
"9","0.4",5.45,"July2016"
"10","0.47",4.93,"July2016"
"11","0.46",5.78,"July2016"
"12","0.48",7.66,"July2016"
"13","0.48",5.68,"July2016"
"14","0.48",4.23,"July2016"
"16","0.69",5.69,"July2016"
"17","0.32",6.87,"July2016"
"18","0.34",6,"July2016"
"19","0.36",5.69,"July2016"
"20","0.33",5.31,"July2016"
"21","0.37",5.46,"July2016"
"22","0.31",4.98,"July2016"
"23","0.38",4.47,"July2016"
"24","0.29",4.82,"July2016"
"25","0.44",4.27,"July2016"
"26","0.49",4.49,"July2016"
"27","0.32",6.31,"July2016"
"28","0.36",4.21,"July2016"
"29","0.41",6.88,"July2016"
"30","0.34",4.8,"July2016"
"31","0.35",4.68,"July2016"
"32","0.33",4.555,"July2016"
"33","0.41",5.06,"July2016"
"34","0.44",4.46,"July2016"
"35","0.52",4.8,"July2016"
"36","0.5",4.9,"July2016"
"37","0.6",4.83,"July2016"
"38","0.49",5.27,"July2016"
"39","0.45",4.61,"July2016"
"40","0.36",4.95,"July2016"
"41","0.34",4.37,"July2016"
"42","0.4",4.86,"July2016"
